start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location,location_code,id
2026-02-11T17:51:00+01:00,2026-02-11T18:22:00+01:00,2026-02-11,FINISHED,Luge,LUG,Men's Doubles,0,Men's Doubles Competition,M,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGMDOUBLES-----------FNL-000100--
2026-02-11T18:30:00+01:00,2026-02-11T19:43:19+01:00,2026-02-11,FINISHED,Speed Skating,SSK,Men's 1000m,1,Men's 1000m,M,INDV,Milano Speed Skating Stadium,MSS,Milano Speed Skating Stadium,MSS,SSKM1000M-------------FNL-000100--
2026-02-11T18:53:00+01:00,2026-02-11T19:14:00+01:00,2026-02-11,FINISHED,Luge,LUG,Women's Doubles,1,Women's Doubles Competition,W,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGWDOUBLES-----------FNL-000200--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet A,CUA,CURMTEAM4-------------PREL000101--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet B,CUB,CURMTEAM4-------------PREL000102--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet C,CUC,CURMTEAM4-------------PREL000103--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet D,CUD,CURMTEAM4-------------PREL000104--
2026-02-11T19:30:00+01:00,2026-02-11T22:51:20+01:00,2026-02-11,FINISHED,Figure Skating,FSK,Ice Dance,1,Ice Dance - Free Dance,X,IGRP,Milano Ice Skating Arena,MSK,Milano Ice Skating Arena-Competition Rink,MSC,FSKXICEDANCE----------FNL-000100--
2026-02-11T19:30:00+01:00,2026-02-11T20:25:00+01:00,2026-02-11,FINISHED,Snowboard,SBD,Men's Snowboard Halfpipe,0,Men's Snowboard Halfpipe Qualification,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Halfpipe,LHP,SBDMHP----------------QUAL000001--
2026-02-11T19:44:00+01:00,2026-02-11T20:16:00+01:00,2026-02-11,FINISHED,Luge,LUG,Men's Doubles,1,Men's Doubles Competition,M,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGMDOUBLES-----------FNL-000200--
2026-02-11T20:27:00+01:00,2026-02-11T21:22:00+01:00,2026-02-11,FINISHED,Snowboard,SBD,Men's Snowboard Halfpipe,0,Men's Snowboard Halfpipe Qualification,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Halfpipe,LHP,SBDMHP----------------QUAL000002--
2026-02-11T21:10:00+01:00,2026-02-11T23:40:00+01:00,2026-02-11,FINISHED,Ice Hockey,IHO,Men,0,Men's Preliminary Round - Group B,M,TEAM,Milano Santagiulia Ice Hockey Arena,MH1,Milano Santagiulia Ice Hockey Arena,MH1,IHOMTEAM6-------------GPB-000200--
